name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
MEG01	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG02	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG03	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG04	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG05	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG06	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG07	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG08	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG09	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG10	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG11	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG12	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG13	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG14	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG15	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG16	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG17	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG18	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG19	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG20	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG21	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG22	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG23	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG24	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG25	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG26	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG27	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG28	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG29	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG30	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG31	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG32	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG33	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG34	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG35	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG36	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG37	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG38	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG39	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG40	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG41	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG42	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG43	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG44	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG45	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG46	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG47	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG48	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG49	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG50	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG51	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG52	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG53	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG54	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG55	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG56	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG57	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG58	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG59	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG60	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG61	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG62	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG63	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
MEG64	MEGMAG	T	0.0	500.0	Magnetometer	1000.0	good	n/a
STIM	TRIG	V	0.0	500.0	Trigger	1000.0	good	n/a
